Question,Answer(s)
"[<div class=""qaDetailsContent"">
Water line from water main to house leaking on patch of grass near curb. I called DEP. DEP representatives came by and said you got 3 days to fix it or off with your water. I say your contractor did put in a new main in two years ago and it could be inferior workmanship that is causing the leak. Water line markings on my sidewalk are far away from leak and my water pressure is normal. DEP placed the job of digging out the street and replacing over 30 feet of new water line falls on me. with a cost between $6500 to $10000. I say it is city's responsibility. I need protection from the City of New York placing repair cost on me in a short 72 hr time frame and cutting off water.
</div>, <div class=""small-12 columns qaDetailsContent"">
There are plumbers that specialize in main line repair.  Call one, and get their opinion.  There are no gray areas.  It is on your side of the main or not.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
There are plumbers that specialize in main line repair.  Call one, and get their opinion.  There are no gray areas.  It is on your side of the main or not.
</div>]"
"[<div class=""qaDetailsContent"">
I live in new york and the property is in Maryland. my domestic partner and I have split and I need to remove his name from the deed. How do I do this?
</div>, <div class=""small-12 columns qaDetailsContent"">
Call an MD lawyer.  Both of you must sign the deed.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
Call an MD lawyer.  Both of you must sign the deed.
</div>]"
"[<div class=""qaDetailsContent"">
My Oldest brother is executor and told me that I can't live in the house while it's in probate. Is this true. The house is in Saratoga Springs NY. I am an heir to the house and her will states that she wants it sold and the money divided among her 4 children.
</div>, <div class=""small-12 columns qaDetailsContent"">
Are you allowed to live there?  Yes.  But, it must be sold and you must cooperate with the sale.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
Are you allowed to live there?  Yes.  But, it must be sold and you must cooperate with the sale.
</div>]"
"[<div class=""qaDetailsContent"">
I am in the process of selling my home , but since then lost my job and it has become a hardship in relocating. I no longer want to sell the home but the buyer does not want to back out. will the courts force me to sell my home if I breach my contract. I am in New York city.
</div>, <div class=""small-12 columns qaDetailsContent"">
It depends on how the contract is worded.  If you are in contract you are going to have to go through with it, unless you can manufacture a default.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
It depends on how the contract is worded.  If you are in contract you are going to have to go through with it, unless you can manufacture a default.
</div>]"
"[<div class=""qaDetailsContent"">
closed last week, my attorney present at closing, the seller handed a town document with a seal, long story there is no CO for the 2nd floor addition. Confronted my attorney today he says no problem everything is good, called up town I have reason to believe it is not. Who has the responsibility at closing to advise me of this?
</div>, <div class=""small-12 columns qaDetailsContent"">
Your attorney.  No one should purchase a house with work that requires a CO and not get one.  One could overlook minor issues, like a deck, but a second floor, no way.  Title insurance does not help.  You are going to have to legalize this.  No one else but you would close for market value with this kind of CO issue.  I am surprised your mortgage company approved it.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
Your attorney.  No one should purchase a house with work that requires a CO and not get one.  One could overlook minor issues, like a deck, but a second floor, no way.  Title insurance does not help.  You are going to have to legalize this.  No one else but you would close for market value with this kind of CO issue.  I am surprised your mortgage company approved it.
</div>]"
"[<div class=""qaDetailsContent"">
my wife , my self and my wifes now passed away father are on the deed to the house we live in , we just received his will, he specifically disinherinates her ,leaves her zero ,and names his wife the executor , this is his 2nd wife ,not my wifes mother . does this will affect the deed we hold
</div>, <div class=""small-12 columns qaDetailsContent"">
It depends if the title is a tenancy in common or joint tenancy.  The language of the deed governs.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
It depends if the title is a tenancy in common or joint tenancy.  The language of the deed governs.
</div>]"
"[<div class=""qaDetailsContent"">
my attorney never deposited the deposit check for the purchase of my home. after 90 days in contract the buyer walked away. I asked my attorney to give me the deposit money, due to breach of contract, but she claims that because the check was never deposited, the contract was null and void.
</div>, <div class=""small-12 columns qaDetailsContent"">
That is weird, but right.  You cannot deposit a check after being told not to do so.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
That is weird, but right.  You cannot deposit a check after being told not to do so.
</div>]"
"[<div class=""qaDetailsContent"">
Our tenants have neglected the grounds of our home. The lease requires them to pay for lawn maintenance and they have never done so. Can I terminate with cause our 12 month lease?
</div>, <div class=""small-12 columns qaDetailsContent"">
It depends on the lease terms.  Probably yes, but if they are paying rent, consider deducting from the security instead.  Once you start eviction, they will not pay and will do whatever is not right.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
It depends on the lease terms.  Probably yes, but if they are paying rent, consider deducting from the security instead.  Once you start eviction, they will not pay and will do whatever is not right.
</div>]"
"[<div class=""qaDetailsContent"">
I am trying to go into a contract with an owner and need help with this contract to make it legal
</div>, <div class=""small-12 columns qaDetailsContent"">
It depends on what you are specifically doing.  There are many attorneys on this site, but your location is important as is the type of matter.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
It depends on what you are specifically doing.  There are many attorneys on this site, but your location is important as is the type of matter.
</div>]"
"[<div class=""qaDetailsContent"">
I am currently in a lease to own with Limestone properties with a life partner that I have recently been separated. I'd like to know if she can get a mortgage in her own name without me signing off on the lease-to-own agreement that we are both on
</div>, <div class=""small-12 columns qaDetailsContent"">
As long as you forfeit the title at the same time, it should not be a problem.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
As long as you forfeit the title at the same time, it should not be a problem.
</div>]"
"[<div class=""qaDetailsContent"">
Because of financial problems, my brother doesn't want his name on the deed or title of a house that he and I inherited equally (we are still in probate). Is it possible that we can transfer the property into a trust (under my name) and the beneficiaries of the trust will be my brother and I?
</div>, <div class=""small-12 columns qaDetailsContent"">
Yes.  Tax issues need to be checked.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
Yes.  Tax issues need to be checked.
</div>]"
"[<div class=""qaDetailsContent"">
I have a land contract and I have to make payments to the seller every month of 988.00. The house payment is added in the total as well as the taxes and his home owners insurance. So I'm paying his home owners insurance to him but he refuses to put me on the insurance. The seller has also failed to pay the taxes on the house even though I pay him every month for the taxes and now the house will foreclose in March of 2020 if all back taxes are not paid. I dont know what to do and no one will help.
</div>, <div class=""small-12 columns qaDetailsContent"">
Land contracts are usually scams.  You are going to have to sue the owner to pay the taxes and give you the property.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
Land contracts are usually scams.  You are going to have to sue the owner to pay the taxes and give you the property.
</div>]"
"[<div class=""qaDetailsContent"">
Purchased property in Virginia. Seller blatantly lied in emails regarding the worth and rent of these properties. Do I speak with a real estate lawyer or is there lawyers with special knowledge dealing with retirement accounts?
</div>, <div class=""small-12 columns qaDetailsContent"">
VA law applies.  If you think you were criminally defrauded call the VA Attorney General.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
VA law applies.  If you think you were criminally defrauded call the VA Attorney General.
</div>]"
"[<div class=""qaDetailsContent"">
I have just completed a mediation hearing a broker is saying she is the procuring cause of a sale that I have completed. I have letters from the unhappy buyers that wouldn’t work with the agent from her brokerage. The house was quiet expensive. The selling price was $755.00 the mediator wanted me to pay her 2 1/2 % she his demanding. How do I defend myself didn’t go to arbitration yet. I don’t have money to pay the broker that money. What r my options
</div>, <div class=""small-12 columns qaDetailsContent"">
If you found the buyers from this agent, you are going to owe this money.  You can have a lawyer.  You may want one.  The fact the buyers hated her is not an issue.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
If you found the buyers from this agent, you are going to owe this money.  You can have a lawyer.  You may want one.  The fact the buyers hated her is not an issue.
</div>]"
"[<div class=""qaDetailsContent"">
Mom is 89 and we both feel it is time to remove her from the deed on the house we own together. what would we need to do to accomplish this. Thank you
</div>, <div class=""small-12 columns qaDetailsContent"">
She needs to sign a deed conveying her share to you.  The technical aspects, i.e. what papers accompany the deed, vary by locality, which you did not post.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
She needs to sign a deed conveying her share to you.  The technical aspects, i.e. what papers accompany the deed, vary by locality, which you did not post.
</div>]"
"[<div class=""qaDetailsContent"">
Condo unit owner in a residential apartment building with 36 units. I think i am one (1) of five (5) condo owners, and 31 are rentals leased out by managing agent. On July 22, 2017, a fire occurred in the common area (basement) and wiped out the electrical grid causing the building to be evacuated. the 31 rentals had their leases cancelled, the unit owners were displaced and continue to be displaced, and carrying charges are waived during this period. my homeowners coverage allows 22000 in additional living expenses, i have consumed about $18,000. At this time, i have been advised by the agent that my apartment should be ready to be re-occupied in mid to late september but i can see there is still plenty of work to be completed, i am nervous that i will be out of pocket for additional time without any reimbursement- what can i do? i own my unit outright and my expenses are $600 , i will not be able to find any apartment at that cost... in november my temporary abode will be expired.
</div>, <div class=""small-12 columns qaDetailsContent"">
You can sue the Board of Managers, which has insurance for common areas.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
You can sue the Board of Managers, which has insurance for common areas.
</div>]"
"[<div class=""qaDetailsContent"">
Our house sold due us buying house in North Carolina from New York, Staten Island. Our house was Supposed to be $238,000 originally (which should have been incorrect because we paid our mortgage every month). Anyway, we were told by the mortgage company we had to pay the $238,000 plus $60,000 on top of that. Mean while we were selling our house for $315,000. We believe we were taken time. We did not have time to fight it. There is more to the story. I was informed by a lawyer here. In NC that i had to get a NY. Lawyer because the laws aer different. Please advise.
</div>, <div class=""small-12 columns qaDetailsContent"">
If you did the payoff at closing and did not dispute the amount in writing at the time, it would be very hard now to contest it.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
If you did the payoff at closing and did not dispute the amount in writing at the time, it would be very hard now to contest it.
</div>]"
[],[]
"[<div class=""qaDetailsContent"">
I have a reverse mortgage, that started at about $108,300. balance which has grown due to interest and various charges to $175,400. and based on the current estimated market value of the home which is 150,300 at best. That puts it at 25,000 underwater. The reverse mortgage required that a stead increasing mortgage Insurance Premium be added each month to protect the mortgage holder so that when I leave the home (for what ever reason i.e. death, nursing home or choose not to live there anymore) they can sell the house for what ever they can get and collect the mortgage insurance to cover any loss. I believe and I need for you to confirm according to HUD rules that I would not be responsible for any short sale (or underwater) loss by the mortgage company. I'm in my late seventies and want to move south to a better climate and one story home without stairs. I'm also a retired 20 year Air Force combat veteran with 100 % disability
</div>, <div class=""small-12 columns qaDetailsContent"">
You are not liable for the shortfall when you vacate the house.  But you must contact the bank to hand it over at the proper time.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
You are not liable for the shortfall when you vacate the house.  But you must contact the bank to hand it over at the proper time.
</div>]"
"[<div class=""qaDetailsContent"">
Landlord insists I pay him last 3-plus rents. I cannot afford to move out right away. Rents are almost twice what I paid for 30 years. I received a text message and a written notice in mail for due rents of $3,170.00. Should I try to pay him what I can afford now? House in flushing, N.Y. has been up-for-sale for approx. 3 months.
</div>, <div class=""small-12 columns qaDetailsContent"">
Unless you have a lease, you cannot stay.  A court order is required, which takes time.  This is the time to make a deal with the landlord.  He should forgive rent, give you time to move, and you move. 
</div>]","[<div class=""small-12 columns qaDetailsContent"">
Unless you have a lease, you cannot stay.  A court order is required, which takes time.  This is the time to make a deal with the landlord.  He should forgive rent, give you time to move, and you move. 
</div>]"
"[<div class=""qaDetailsContent"">
Brooker/seller is advising that I can use his attorney since I haven’t found one yet. I’m thinking there will be a conflict of interest
</div>, <div class=""small-12 columns qaDetailsContent"">
It is legal.  But, it is a conflict that you can waive.  You should have your own representation. There are thousands of us.  Saying you cannot find a lawyer makes no sense.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
It is legal.  But, it is a conflict that you can waive.  You should have your own representation. There are thousands of us.  Saying you cannot find a lawyer makes no sense.
</div>]"
"[<div class=""qaDetailsContent"">
our landlord is on our lease as the offical landlord. it has been 35 days sense we broke our lease and our deposit still hasnt been returned. he keeps telling us to contact his brother even though we had already given the information during the walk through. today when i contacted him in a attempt to have my security deposit returned he was very rude and told me he wouldnt be giving me a dime. i am wondering what would the best way to get my deposit and possibly more returned to me
</div>, <div class=""small-12 columns qaDetailsContent"">
Depends on the amount, and the location of your apartment.  May be small claims.  You get triple damages if the money was not in an isolated account.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
Depends on the amount, and the location of your apartment.  May be small claims.  You get triple damages if the money was not in an isolated account.
</div>]"
